S. No.,District Name (Old),New 41 District,Block Name,LGD Block Code
1,AJMER,AJMER,AJMER RURAL,7382
2,AJMER,AJMER,ARAIN,566
3,AJMER,AJMER,BHINAY,567
4,AJMER,AJMER,KEKRI,569
5,AJMER,AJMER,Kishangarh Silora,570
6,AJMER,AJMER,PISANGAN,572
7,AJMER,AJMER,SARWAR,6860
8,AJMER,AJMER,SAWAR,7384
9,AJMER,AJMER,SRINAGAR,573
10,ALWAR,ALWAR,GOVINDGARH,7397
11,ALWAR,ALWAR,KATHUMAR,576
12,ALWAR,ALWAR,Laxmangarh,579
13,ALWAR,ALWAR,Malkheda,7391
14,ALWAR,ALWAR,RAJGARH,582
15,ALWAR,ALWAR,RAMGARH,583
16,ALWAR,ALWAR,RENI,584
17,ALWAR,ALWAR,THANAGAZI,585
18,ALWAR,ALWAR,UMREN,587
19,BARMER,Balotra,BALTORA,603
20,BARMER,Balotra,BAYTOO,605
21,BARMER,Balotra,GIRA,6839
22,BARMER,Balotra,KALYANPUR,6825
23,BARMER,Balotra,Panyla Kla,7472
24,BARMER,Balotra,PATODI,6830
25,BARMER,Balotra,SAMDARI,6833
26,BARMER,Balotra,SINDHARI,609
27,BARMER,Balotra,SIWANA,610
28,BANSWARA,BANSWARA,ANANDPURI,588
29,BANSWARA,BANSWARA,ARTHUNA,6827
30,BANSWARA,BANSWARA,BAGIDORA,589
31,BANSWARA,BANSWARA,BANSWARA,590
32,BANSWARA,BANSWARA,CHHOTI SARWAN,6606
33,BANSWARA,BANSWARA,Gangar Talai,6822
34,BANSWARA,BANSWARA,GARHI,591
35,BANSWARA,BANSWARA,GHATOL,592
36,BANSWARA,BANSWARA,KUSHALGARH,593
37,BANSWARA,BANSWARA,SAJJANGARH,595
38,BANSWARA,BANSWARA,TALWARA,6828
39,BARAN,BARAN,ANTA,596
40,BARAN,BARAN,ATRU,597
41,BARAN,BARAN,BARAN (FULL),598
42,BARAN,BARAN,CHHABRA,599
43,BARAN,BARAN,CHHIPABAROD,600
44,BARAN,BARAN,KISHANGANJ,601
45,BARAN,BARAN,MANGROL,7401
46,BARAN,BARAN,SHAHBAD,602
47,BARMER,BARMER,AADEL,7474
48,BARMER,BARMER,BARMER,604
49,BARMER,BARMER,BARMER RURAL,7475
50,BARMER,BARMER,CHOHTAN,606
51,BARMER,BARMER,DHANAU,6844
52,BARMER,BARMER,DHORIMANNA,607
53,BARMER,BARMER,FAGLIYA,7473
54,BARMER,BARMER,GADRA ROAD,6834
55,BARMER,BARMER,GUDHAMALANI,6842
56,BARMER,BARMER,RAMSAR,6843
57,BARMER,BARMER,SEDWA,6840
58,BARMER,BARMER,SHEO,608
59,BHILWARA,BEAWAR,BADNOR,7419
60,PALI,BEAWAR,JAITARAN,753
61,AJMER,BEAWAR,JAWAJA,568
62,AJMER,BEAWAR,MASOODA,571
