District Name,Block Name,Gram Panchayat Name
Ajmer,Ajmer Rural,Ajaysar
Ajmer,Ajmer Rural,Aradka
Ajmer,Ajmer Rural,Babayacha
Ajmer,Ajmer Rural,Banseli
Ajmer,Ajmer Rural,Barliya
Ajmer,Ajmer Rural,Beer
Ajmer,Ajmer Rural,Bhanwta
Ajmer,Ajmer Rural,Bhoodol
Ajmer,Ajmer Rural,Bubani
Ajmer,Ajmer Rural,Chachiyawas
Ajmer,Ajmer Rural,Danta
Ajmer,Ajmer Rural,Daurai
Ajmer,Ajmer Rural,Deo Nagar
Ajmer,Ajmer Rural,Doomara
Ajmer,Ajmer Rural,Gagwana
Ajmer,Ajmer Rural,Ganahera
Ajmer,Ajmer Rural,Gegal
Ajmer,Ajmer Rural,Ghooghra
Ajmer,Ajmer Rural,Godiyawas
Ajmer,Ajmer Rural,Hathi Khera
Ajmer,Ajmer Rural,Hatoondi
Ajmer,Ajmer Rural,Kadel
Ajmer,Ajmer Rural,Kanas.
Ajmer,Ajmer Rural,Kayad
Ajmer,Ajmer Rural,Kayampura
Ajmer,Ajmer Rural,Khori
Ajmer,Ajmer Rural,Makarwali
Ajmer,Ajmer Rural,Mayapur
Ajmer,Ajmer Rural,Nand
Ajmer,Ajmer Rural,Nareli
Ajmer,Ajmer Rural,Narwar
Ajmer,Ajmer Rural,Oontra
Ajmer,Ajmer Rural,Palra
Ajmer,Ajmer Rural,Ramner Dhani
Ajmer,Ajmer Rural,Rasoolpura
Ajmer,Ajmer Rural,Saradhana
Ajmer,Ajmer Rural,Sarana
Ajmer,Ajmer Rural,Sedariya
Ajmer,Ajmer Rural,Somalpur
Ajmer,Ajmer Rural,Tabeeji
Ajmer,Ajmer Rural,Tilora
Ajmer,Arain,Aakodiya
Ajmer,Arain,Arain
Ajmer,Arain,Barol
Ajmer,Arain,Bhagwantpura
Ajmer,Arain,Bhamolav
Ajmer,Arain,Bhogadeet
Ajmer,Arain,Borada
Ajmer,Arain,Chhota Lamba
Ajmer,Arain,Dabrela
Ajmer,Arain,Dadiya
Ajmer,Arain,Deopuri
Ajmer,Arain,Dhasook
Ajmer,Arain,Gothiyana
Ajmer,Arain,Jheerota
Ajmer,Arain,Kakalwara
Ajmer,Arain,Kalanada
Ajmer,Arain,Kasheer
Ajmer,Arain,Katsoora
Ajmer,Arain,Mandawariya
Ajmer,Arain,Manoharpura
Ajmer,Arain,Sandoliya
Ajmer,Arain,Siroonj
Ajmer,Bhinay,Bandanwara
Ajmer,Bhinay,Bargaon (Surkhand)
Ajmer,Bhinay,Barli
Ajmer,Bhinay,Bhinay
Ajmer,Bhinay,Boobkiya
Ajmer,Bhinay,Chapaneri
Ajmer,Bhinay,Chhachhundra
Ajmer,Bhinay,Deoliya Kalan
Ajmer,Bhinay,Devpura
Ajmer,Bhinay,Dhantol
Ajmer,Bhinay,Ekalseenga
Ajmer,Bhinay,Gurha Khurd
Ajmer,Bhinay,Kanai Kalan
Ajmer,Bhinay,Karanti
Ajmer,Bhinay,Kerot
Ajmer,Bhinay,Kumhariya
Ajmer,Bhinay,Lamgara
Ajmer,Bhinay,Nagola
Ajmer,Bhinay,Nandsi
Ajmer,Bhinay,Padaliya
Ajmer,Bhinay,Padanga
Ajmer,Bhinay,Rammaliya
Ajmer,Bhinay,Ratakot
Ajmer,Bhinay,Singawal
Ajmer,Bhinay,Sobdi
Ajmer,Kekri,Ajgara
Ajmer,Kekri,Baghera
Ajmer,Kekri,Bharai
Ajmer,Kekri,Bheemrawas
Ajmer,Kekri,Deogaon
Ajmer,Kekri,Jooniya
