Sr. No.,District Name,New District,Block Name,
0,1,1,2,
1,AJMER,AJMER,AJMER RURAL,
2,AJMER,AJMER,ARAIN,
3,AJMER,AJMER,BHINAY,
4,AJMER,BEAWAR,JAWAJA,
5,AJMER,AJMER,KEKRI,
6,AJMER,AJMER,KISHANGARH SILORA,
7,AJMER,BEAWAR,MASOODA,
8,AJMER,AJMER,PISANGAN,
9,AJMER,AJMER,SARWAR,
10,AJMER,AJMER,SAWAR,
11,AJMER,AJMER,SRINAGAR,
12,ALWAR,Kotputli-Behror,BANSUR,
13,ALWAR,Kotputli-Behror,BEHROR,
14,ALWAR,ALWAR,GOVINDGARH (Alwar),
15,ALWAR,ALWAR,KATHUMAR,
16,ALWAR,Khairthal-Tijara,KISHANGARH BAS,
17,ALWAR,Khairthal-Tijara,KOTKASIM,
18,ALWAR,ALWAR,LAXMANGARH,
19,ALWAR,ALWAR,Malkheda,
20,ALWAR,Khairthal-Tijara,MANDAWAR,
21,ALWAR,Kotputli-Behror,Neemrana,
22,ALWAR,ALWAR,RAJGARH,
23,ALWAR,ALWAR,RAMGARH,
24,ALWAR,ALWAR,RENI,
25,ALWAR,ALWAR,THANAGAZI,
26,ALWAR,Khairthal-Tijara,TIJARA,
27,ALWAR,ALWAR,UMREN,
28,BANSWARA,BANSWARA,ANANDPURI,
29,BANSWARA,BANSWARA,ARTHUNA,
30,BANSWARA,BANSWARA,BAGIDORA,
31,BANSWARA,BANSWARA,BANSWARA,
32,BANSWARA,BANSWARA,CHHOTI SARWAN,
33,BANSWARA,BANSWARA,GANGAR TALAI,
34,BANSWARA,BANSWARA,GARHI,
35,BANSWARA,BANSWARA,GHATOL,
36,BANSWARA,BANSWARA,KUSHALGARH,
37,BANSWARA,BANSWARA,SAJJANGARH,
38,BANSWARA,BANSWARA,TALWARA,
39,BARAN,BARAN,ANTA,
40,BARAN,BARAN,ATRU,
41,BARAN,BARAN,BARAN (FULL),
42,BARAN,BARAN,CHHABRA,
43,BARAN,BARAN,CHHIPABAROD,
44,BARAN,BARAN,KISHANGANJ,
45,BARAN,BARAN,MANGROL,
46,BARAN,BARAN,SHAHBAD,
47,BARMER,BARMER,AADEL,
48,BARMER,BALOTRA,BALTORA,
49,BARMER,BARMER,BARMER,
50,BARMER,BARMER,BARMER RURAL,
51,BARMER,BALOTRA,BAYTOO,
52,BARMER,BARMER,CHOHTAN,
53,BARMER,BARMER,DHANAU,
54,BARMER,BARMER,DHORIMANNA,
55,BARMER,BARMER,FAGLIYA,
56,BARMER,BARMER,GADRA ROAD,
57,BARMER,BALOTRA,GIRA,
58,BARMER,BARMER,GUDHAMALANI,
59,BARMER,BALOTRA,KALYANPUR,
60,BARMER,BALOTRA,PANYLA KLA,
61,BARMER,BALOTRA,PATODI,
62,BARMER,BARMER,RAMSAR,
63,BARMER,BALOTRA,SAMDARI,
64,BARMER,BARMER,SEDWA,
65,BARMER,BARMER,SHEO,
66,BARMER,BALOTRA,SINDHARI,
67,BARMER,BALOTRA,SIWANA,
68,BHARATPUR,BHARATPUR,BAYANA,
69,BHARATPUR,BHARATPUR,BHUSAWAR,
70,BHARATPUR,DEEG,DEEG,
71,BHARATPUR,DEEG,KAMAN,
72,BHARATPUR,DEEG,KUMHER,
73,BHARATPUR,BHARATPUR,NADBAI,
74,BHARATPUR,DEEG,NAGAR PAHARI,
75,BHARATPUR,DEEG,PAHARI,
76,BHARATPUR,BHARATPUR,RUPBAS,
77,BHARATPUR,BHARATPUR,SEWAR,
78,BHARATPUR,BHARATPUR,UCHAIN,
79,BHARATPUR,BHARATPUR,WEIR,
80,BHILWARA,BHILWARA,ASIND,
81,BHILWARA,BEAWAR,BADNOR,
82,BHILWARA,BHILWARA,BANERA,
83,BHILWARA,BHILWARA,BIJOLIYA,
84,BHILWARA,BHILWARA,HURDA,
85,BHILWARA,BHILWARA,JAHAZPUR,
86,BHILWARA,BHILWARA,KAREDA,
87,BHILWARA,BHILWARA,KOTRI,
88,BHILWARA,BHILWARA,MANDAL,
89,BHILWARA,BHILWARA,MANDALGARH,
90,BHILWARA,BHILWARA,RAIPUR (Bhilwara),
91,BHILWARA,BHILWARA,SAHARA,
92,BHILWARA,BHILWARA,SHAHPURA (Bhilwara),
93,BHILWARA,BHILWARA,SUWANA,
94,BIKANER,BIKANER,BAJJU KHALSA,
95,BIKANER,BIKANER,BIKANER,
96,BIKANER,BIKANER,KHAJUWALA,
97,BIKANER,BIKANER,KOLAYAT,
