GP ID,Old District Name,New District,Block Name,GP Name,Urbanies,District ID,Block ID
1.0,AJMER,AJMER,AJMER RURAL,AJAYSAR,,1.0,1.0
2.0,AJMER,AJMER,AJMER RURAL,ARADKA,,1.0,1.0
3.0,AJMER,AJMER,AJMER RURAL,BABAYACHA,,1.0,1.0
4.0,AJMER,AJMER,AJMER RURAL,BANSELI,,1.0,1.0
5.0,AJMER,AJMER,AJMER RURAL,BARLIYA,,1.0,1.0
6.0,AJMER,AJMER,AJMER RURAL,BEER,,1.0,1.0
7.0,AJMER,AJMER,AJMER RURAL,BHANWTA,,1.0,1.0
8.0,AJMER,AJMER,AJMER RURAL,BHOODOL,,1.0,1.0
9.0,AJMER,AJMER,AJMER RURAL,BUBANI,,1.0,1.0
10.0,AJMER,AJMER,AJMER RURAL,CHACHIYAWAS,,1.0,1.0
11.0,AJMER,AJMER,AJMER RURAL,DANTA,,1.0,1.0
12.0,AJMER,AJMER,AJMER RURAL,DAURAI,,1.0,1.0
13.0,AJMER,AJMER,AJMER RURAL,DEO NAGAR,,1.0,1.0
14.0,AJMER,AJMER,AJMER RURAL,DOOMARA,,1.0,1.0
15.0,AJMER,AJMER,AJMER RURAL,GAGWANA,,1.0,1.0
16.0,AJMER,AJMER,AJMER RURAL,GANAHERA,,1.0,1.0
17.0,AJMER,AJMER,AJMER RURAL,GEGAL,,1.0,1.0
18.0,AJMER,AJMER,AJMER RURAL,GHOOGHRA,,1.0,1.0
19.0,AJMER,AJMER,AJMER RURAL,GODIYAWAS,,1.0,1.0
20.0,AJMER,AJMER,AJMER RURAL,HATHI KHERA,Urbanies,1.0,1.0
21.0,AJMER,AJMER,AJMER RURAL,HATOONDI,,1.0,1.0
22.0,AJMER,AJMER,AJMER RURAL,KADEL,,1.0,1.0
23.0,AJMER,AJMER,AJMER RURAL,KANAS.,,1.0,1.0
24.0,AJMER,AJMER,AJMER RURAL,KAYAD,,1.0,1.0
25.0,AJMER,AJMER,AJMER RURAL,KAYAMPURA,,1.0,1.0
26.0,AJMER,AJMER,AJMER RURAL,KHORI,,1.0,1.0
27.0,AJMER,AJMER,AJMER RURAL,MAKARWALI,,1.0,1.0
28.0,AJMER,AJMER,AJMER RURAL,MAYAPUR,,1.0,1.0
29.0,AJMER,AJMER,AJMER RURAL,NAND,,1.0,1.0
30.0,AJMER,AJMER,AJMER RURAL,NARELI,,1.0,1.0
31.0,AJMER,AJMER,AJMER RURAL,NARWAR,,1.0,1.0
32.0,AJMER,AJMER,AJMER RURAL,OONTRA,,1.0,1.0
33.0,AJMER,AJMER,AJMER RURAL,PALRA,,1.0,1.0
34.0,AJMER,AJMER,AJMER RURAL,RAMNER DHANI,,1.0,1.0
35.0,AJMER,AJMER,AJMER RURAL,RASOOLPURA,,1.0,1.0
36.0,AJMER,AJMER,AJMER RURAL,SARADHANA,,1.0,1.0
37.0,AJMER,AJMER,AJMER RURAL,SARANA,,1.0,1.0
38.0,AJMER,AJMER,AJMER RURAL,SEDARIYA,,1.0,1.0
39.0,AJMER,AJMER,AJMER RURAL,SOMALPUR,,1.0,1.0
40.0,AJMER,AJMER,AJMER RURAL,TABEEJI,,1.0,1.0
41.0,AJMER,AJMER,AJMER RURAL,TILORA,,1.0,1.0
1.0,AJMER,AJMER,ARAIN,AAKODIYA,,1.0,2.0
2.0,AJMER,AJMER,ARAIN,ARAIN,,1.0,2.0
3.0,AJMER,AJMER,ARAIN,BAROL,,1.0,2.0
4.0,AJMER,AJMER,ARAIN,BHAGWANTPURA,,1.0,2.0
5.0,AJMER,AJMER,ARAIN,BHAMOLAV,,1.0,2.0
6.0,AJMER,AJMER,ARAIN,BHOGADEET,,1.0,2.0
7.0,AJMER,AJMER,ARAIN,BORADA,,1.0,2.0
8.0,AJMER,AJMER,ARAIN,CHHOTA LAMBA,,1.0,2.0
9.0,AJMER,AJMER,ARAIN,DABRELA,,1.0,2.0
10.0,AJMER,AJMER,ARAIN,DADIYA,,1.0,2.0
11.0,AJMER,AJMER,ARAIN,DEOPURI,,1.0,2.0
12.0,AJMER,AJMER,ARAIN,DHASOOK,,1.0,2.0
13.0,AJMER,AJMER,ARAIN,GOTHIYANA,,1.0,2.0
14.0,AJMER,AJMER,ARAIN,JHEEROTA,,1.0,2.0
15.0,AJMER,AJMER,ARAIN,KAKALWARA,,1.0,2.0
16.0,AJMER,AJMER,ARAIN,KALANADA,,1.0,2.0
17.0,AJMER,AJMER,ARAIN,KASHEER,,1.0,2.0
18.0,AJMER,AJMER,ARAIN,KATSOORA,,1.0,2.0
19.0,AJMER,AJMER,ARAIN,MANDAWARIYA,,1.0,2.0
20.0,AJMER,AJMER,ARAIN,MANOHARPURA,,1.0,2.0
21.0,AJMER,AJMER,ARAIN,SANDOLIYA,,1.0,2.0
22.0,AJMER,AJMER,ARAIN,SIROONJ,,1.0,2.0
1.0,AJMER,AJMER,BHINAY,BANDANWARA,,1.0,3.0
2.0,AJMER,AJMER,BHINAY,BARGAON (SURKHAND),,1.0,3.0
3.0,AJMER,AJMER,BHINAY,BARLI,,1.0,3.0
4.0,AJMER,AJMER,BHINAY,BHINAY,,1.0,3.0
5.0,AJMER,AJMER,BHINAY,BOOBKIYA,,1.0,3.0
6.0,AJMER,AJMER,BHINAY,CHAPANERI,,1.0,3.0
7.0,AJMER,AJMER,BHINAY,CHHACHHUNDRA,,1.0,3.0
8.0,AJMER,AJMER,BHINAY,DEOLIYA KALAN,,1.0,3.0
9.0,AJMER,AJMER,BHINAY,DEVPURA,,1.0,3.0
10.0,AJMER,AJMER,BHINAY,DHANTOL,,1.0,3.0
11.0,AJMER,AJMER,BHINAY,EKALSEENGA,,1.0,3.0
12.0,AJMER,AJMER,BHINAY,GURHA KHURD,,1.0,3.0
13.0,AJMER,AJMER,BHINAY,KANAI KALAN,,1.0,3.0
14.0,AJMER,AJMER,BHINAY,KARANTI,,1.0,3.0
15.0,AJMER,AJMER,BHINAY,KEROT,,1.0,3.0
16.0,AJMER,AJMER,BHINAY,KUMHARIYA,,1.0,3.0
17.0,AJMER,AJMER,BHINAY,LAMGARA,,1.0,3.0
18.0,AJMER,AJMER,BHINAY,NAGOLA,,1.0,3.0
19.0,AJMER,AJMER,BHINAY,NANDSI,,1.0,3.0
20.0,AJMER,AJMER,BHINAY,PADALIYA,,1.0,3.0
21.0,AJMER,AJMER,BHINAY,PADANGA,,1.0,3.0
22.0,AJMER,AJMER,BHINAY,RAMMALIYA,,1.0,3.0
23.0,AJMER,AJMER,BHINAY,RATAKOT,,1.0,3.0
24.0,AJMER,AJMER,BHINAY,SINGAWAL,,1.0,3.0
25.0,AJMER,AJMER,BHINAY,SOBDI,,1.0,3.0
1.0,AJMER,BEAWAR,JAWAJA,ASAN,,2.0,1.0
2.0,AJMER,BEAWAR,JAWAJA,ATEETMAND,,2.0,1.0
3.0,AJMER,BEAWAR,JAWAJA,BADA KHERA (KHERA KALAN),,2.0,1.0
4.0,AJMER,BEAWAR,JAWAJA,BADIYA BHAU,,2.0,1.0
5.0,AJMER,BEAWAR,JAWAJA,BALAR,,2.0,1.0
6.0,AJMER,BEAWAR,JAWAJA,BAMANHERA,,2.0,1.0
7.0,AJMER,BEAWAR,JAWAJA,BANJARI,,2.0,1.0
8.0,AJMER,BEAWAR,JAWAJA,BAR KOCHARA,,2.0,1.0
9.0,AJMER,BEAWAR,JAWAJA,BARAKHAN,,2.0,1.0
10.0,AJMER,BEAWAR,JAWAJA,BEAWAR KHAS,,2.0,1.0
11.0,AJMER,BEAWAR,JAWAJA,BHAIROO KHERA,,2.0,1.0
12.0,AJMER,BEAWAR,JAWAJA,DELWARA,Urbanies,2.0,1.0
13.0,AJMER,BEAWAR,JAWAJA,DEWATA,,2.0,1.0
14.0,AJMER,BEAWAR,JAWAJA,DURGAWAS,,2.0,1.0
15.0,AJMER,BEAWAR,JAWAJA,FATEHGARH SALLA,,2.0,1.0
16.0,AJMER,BEAWAR,JAWAJA,GANESHPURA,Urbanies,2.0,1.0
17.0,AJMER,BEAWAR,JAWAJA,GOHANA,,2.0,1.0
18.0,AJMER,BEAWAR,JAWAJA,GOVINDPURA,Urbanies,2.0,1.0
19.0,AJMER,BEAWAR,JAWAJA,JALIYA-I,,2.0,1.0
20.0,AJMER,BEAWAR,JAWAJA,JAWAJA,,2.0,1.0
21.0,AJMER,BEAWAR,JAWAJA,KABRA,,2.0,1.0
22.0,AJMER,BEAWAR,JAWAJA,KISHANPURA,,2.0,1.0
23.0,AJMER,BEAWAR,JAWAJA,KOTRA,,2.0,1.0
24.0,AJMER,BEAWAR,JAWAJA,LASADIYA,,2.0,1.0
25.0,AJMER,BEAWAR,JAWAJA,LOTIYANA,,2.0,1.0
26.0,AJMER,BEAWAR,JAWAJA,MALATON KI BER,,2.0,1.0
27.0,AJMER,BEAWAR,JAWAJA,MALPURA,,2.0,1.0
28.0,AJMER,BEAWAR,JAWAJA,MEDIYA,Urbanies,2.0,1.0
29.0,AJMER,BEAWAR,JAWAJA,NAI KALAN,,2.0,1.0
30.0,AJMER,BEAWAR,JAWAJA,NARBAD KHERA,,2.0,1.0
31.0,AJMER,BEAWAR,JAWAJA,NOONDRI MAHINDRATAN,Urbanies,2.0,1.0
32.0,AJMER,BEAWAR,JAWAJA,NOONDRI MALDEO,,2.0,1.0
33.0,AJMER,BEAWAR,JAWAJA,PAKHRIYAWAS,,2.0,1.0
34.0,AJMER,BEAWAR,JAWAJA,RAJIYAWAS,,2.0,1.0
35.0,AJMER,BEAWAR,JAWAJA,RAWATMALA,,2.0,1.0
36.0,AJMER,BEAWAR,JAWAJA,ROOPNAGAR,,2.0,1.0
37.0,AJMER,BEAWAR,JAWAJA,SARMALIYA,,2.0,1.0
38.0,AJMER,BEAWAR,JAWAJA,SARVEENA,,2.0,1.0
39.0,AJMER,BEAWAR,JAWAJA,SATOO KHERA,,2.0,1.0
40.0,AJMER,BEAWAR,JAWAJA,SHAHPURA,,2.0,1.0
41.0,AJMER,BEAWAR,JAWAJA,SUHAWA,,2.0,1.0
42.0,AJMER,BEAWAR,JAWAJA,SURADIYA,,2.0,1.0
43.0,AJMER,BEAWAR,JAWAJA,SURAJPURA,,2.0,1.0
44.0,AJMER,BEAWAR,JAWAJA,TARAGARH,,2.0,1.0
45.0,AJMER,BEAWAR,JAWAJA,TATGARH,,2.0,1.0
46.0,AJMER,BEAWAR,JAWAJA,THEEKRANA MENDRATAN,,2.0,1.0
1.0,AJMER,AJMER,KEKRI,AJGARA,,1.0,4.0
2.0,AJMER,AJMER,KEKRI,BAGHERA,,1.0,4.0
3.0,AJMER,AJMER,KEKRI,BHARAI,,1.0,4.0
4.0,AJMER,AJMER,KEKRI,BHEEMRAWAS,,1.0,4.0
5.0,AJMER,AJMER,KEKRI,DEOGAON,,1.0,4.0
6.0,AJMER,AJMER,KEKRI,JOONIYA,,1.0,4.0
7.0,AJMER,AJMER,KEKRI,KADERA,,1.0,4.0
8.0,AJMER,AJMER,KEKRI,KALERA KRISHNA GOPAL,,1.0,4.0
9.0,AJMER,AJMER,KEKRI,KANOJ,,1.0,4.0
10.0,AJMER,AJMER,KEKRI,KHAWAS,,1.0,4.0
11.0,AJMER,AJMER,KEKRI,KOHADA,,1.0,4.0
12.0,AJMER,AJMER,KEKRI,LALLAI,,1.0,4.0
13.0,AJMER,AJMER,KEKRI,LASADIYA,,1.0,4.0
14.0,AJMER,AJMER,KEKRI,MANKHAND,,1.0,4.0
15.0,AJMER,AJMER,KEKRI,MEODA KALAN,,1.0,4.0
16.0,AJMER,AJMER,KEKRI,MOLKIYA,,1.0,4.0
17.0,AJMER,AJMER,KEKRI,NAIKI,,1.0,4.0
18.0,AJMER,AJMER,KEKRI,NIMOD,,1.0,4.0
19.0,AJMER,AJMER,KEKRI,PRANHEDA,,1.0,4.0
20.0,AJMER,AJMER,KEKRI,RAMPALI,,1.0,4.0
21.0,AJMER,AJMER,KEKRI,SALARI,,1.0,4.0
