GP ID,New District,Block Name,GP Name,Urbanies,District ID,Block ID
1,AJMER,AJMER RURAL,AJAYSAR,,1,1
2,AJMER,AJMER RURAL,ARADKA,,1,1
3,AJMER,AJMER RURAL,BABAYACHA,,1,1
4,AJMER,AJMER RURAL,BANSELI,,1,1
5,AJMER,AJMER RURAL,BARLIYA,,1,1
6,AJMER,AJMER RURAL,BEER,,1,1
7,AJMER,AJMER RURAL,BHANWTA,,1,1
8,AJMER,AJMER RURAL,BHOODOL,,1,1
9,AJMER,AJMER RURAL,BUBANI,,1,1
10,AJMER,AJMER RURAL,CHACHIYAWAS,,1,1
11,AJMER,AJMER RURAL,DANTA,,1,1
12,AJMER,AJMER RURAL,DAURAI,,1,1
13,AJMER,AJMER RURAL,DEO NAGAR,,1,1
14,AJMER,AJMER RURAL,DOOMARA,,1,1
15,AJMER,AJMER RURAL,GAGWANA,,1,1
16,AJMER,AJMER RURAL,GANAHERA,,1,1
17,AJMER,AJMER RURAL,GEGAL,,1,1
18,AJMER,AJMER RURAL,GHOOGHRA,,1,1
19,AJMER,AJMER RURAL,GODIYAWAS,,1,1
20,AJMER,AJMER RURAL,HATHI KHERA,Urbanies,1,1
21,AJMER,AJMER RURAL,HATOONDI,,1,1
22,AJMER,AJMER RURAL,KADEL,,1,1
23,AJMER,AJMER RURAL,KANAS.,,1,1
24,AJMER,AJMER RURAL,KAYAD,,1,1
25,AJMER,AJMER RURAL,KAYAMPURA,,1,1
26,AJMER,AJMER RURAL,KHORI,,1,1
27,AJMER,AJMER RURAL,MAKARWALI,,1,1
28,AJMER,AJMER RURAL,MAYAPUR,,1,1
29,AJMER,AJMER RURAL,NAND,,1,1
30,AJMER,AJMER RURAL,NARELI,,1,1
31,AJMER,AJMER RURAL,NARWAR,,1,1
32,AJMER,AJMER RURAL,OONTRA,,1,1
33,AJMER,AJMER RURAL,PALRA,,1,1
34,AJMER,AJMER RURAL,RAMNER DHANI,,1,1
35,AJMER,AJMER RURAL,RASOOLPURA,,1,1
36,AJMER,AJMER RURAL,SARADHANA,,1,1
37,AJMER,AJMER RURAL,SARANA,,1,1
38,AJMER,AJMER RURAL,SEDARIYA,,1,1
39,AJMER,AJMER RURAL,SOMALPUR,,1,1
40,AJMER,AJMER RURAL,TABEEJI,,1,1
41,AJMER,AJMER RURAL,TILORA,,1,1
42,AJMER,ARAIN,AAKODIYA,,1,2
43,AJMER,ARAIN,ARAIN,,1,2
44,AJMER,ARAIN,BAROL,,1,2
45,AJMER,ARAIN,BHAGWANTPURA,,1,2
46,AJMER,ARAIN,BHAMOLAV,,1,2
47,AJMER,ARAIN,BHOGADEET,,1,2
48,AJMER,ARAIN,BORADA,,1,2
49,AJMER,ARAIN,CHHOTA LAMBA,,1,2
50,AJMER,ARAIN,DABRELA,,1,2
51,AJMER,ARAIN,DADIYA,,1,2
52,AJMER,ARAIN,DEOPURI,,1,2
53,AJMER,ARAIN,DHASOOK,,1,2
54,AJMER,ARAIN,GOTHIYANA,,1,2
